place_id,canonical_name,grade,era,url_status,note
P062,예스르엘,S,분열왕국시대,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P085,마가의 다락방,SS,"예수시대,초대교회시대",missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P099,에덴 동산,SSS,창조시대,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P100,에덴 동쪽,A,창조시대,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P103,가사로 가는 길,A,초대교회시대,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P363,히에라볼리,,신약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P364,기손강,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P365,엑바타나,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P369,디스베,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P370,야베스 길르앗,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P371,아세가,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P372,마레사,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P373,모레셋,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P381,보스라,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P383,믹돌,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P384,디벨라다임,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P385,아바림산,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P386,아로에르,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P387,야하스,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P388,야셀,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P389,살가,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P391,마게다,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P392,디벳,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P393,소라,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P395,레히,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P396,엔학고레,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P397,에담 바위,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P398,믹마스,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P399,믹마스,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P400,라마 나욧,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P401,하길라산,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P402,바할림,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P403,아벨 벧마아가,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P404,기브온 못,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P406,아라우나 타작마당,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P408,엔로겔,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P410,담방,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P411,호렙산 동굴,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P412,나봇의 포도원,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P413,바알 살리사,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P414,디브온,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P415,스바,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P416,오빌,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P418,욥바 항구,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P419,울래 강가,,구약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
P425,벳새다 광야,,신약,missing,사용자 URL 공란. 외부 성경지도 또는 Google Maps 연결 필요.
