place_id,official_name,map_id,preferred_url,map_title,qa_note
P062,예스르엘,GOOGLE-FALLBACK-P062,https://www.google.com/maps/search/?api=1&query=%EC%98%88%EC%8A%A4%EB%A5%B4%EC%97%98,Google Maps 검색: 예스르엘,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P085,마가의 다락방,GOOGLE-FALLBACK-P085,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EA%B0%80%EC%9D%98%20%EB%8B%A4%EB%9D%BD%EB%B0%A9,Google Maps 검색: 마가의 다락방,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P099,에덴 동산,GOOGLE-FALLBACK-P099,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EB%8D%B4%20%EB%8F%99%EC%82%B0,Google Maps 검색: 에덴 동산,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P100,에덴 동쪽,GOOGLE-FALLBACK-P100,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EB%8D%B4%20%EB%8F%99%EC%AA%BD,Google Maps 검색: 에덴 동쪽,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P103,가사로 가는 길,GOOGLE-FALLBACK-P103,https://www.google.com/maps/search/?api=1&query=%EA%B0%80%EC%82%AC%EB%A1%9C%20%EA%B0%80%EB%8A%94%20%EA%B8%B8,Google Maps 검색: 가사로 가는 길,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P363,히에라볼리,GOOGLE-FALLBACK-P363,https://www.google.com/maps/search/?api=1&query=%ED%9E%88%EC%97%90%EB%9D%BC%EB%B3%BC%EB%A6%AC,Google Maps 검색: 히에라볼리,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P364,기손강,GOOGLE-FALLBACK-P364,https://www.google.com/maps/search/?api=1&query=%EA%B8%B0%EC%86%90%EA%B0%95,Google Maps 검색: 기손강,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P365,엑바타나,GOOGLE-FALLBACK-P365,https://www.google.com/maps/search/?api=1&query=%EC%97%91%EB%B0%94%ED%83%80%EB%82%98,Google Maps 검색: 엑바타나,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P369,디스베,GOOGLE-FALLBACK-P369,https://www.google.com/maps/search/?api=1&query=%EB%94%94%EC%8A%A4%EB%B2%A0,Google Maps 검색: 디스베,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P370,야베스 길르앗,GOOGLE-FALLBACK-P370,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%EB%B2%A0%EC%8A%A4%20%EA%B8%B8%EB%A5%B4%EC%95%97,Google Maps 검색: 야베스 길르앗,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P371,아세가,GOOGLE-FALLBACK-P371,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%84%B8%EA%B0%80,Google Maps 검색: 아세가,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P372,마레사,GOOGLE-FALLBACK-P372,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%A0%88%EC%82%AC,Google Maps 검색: 마레사,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P373,모레셋,GOOGLE-FALLBACK-P373,https://www.google.com/maps/search/?api=1&query=%EB%AA%A8%EB%A0%88%EC%85%8B,Google Maps 검색: 모레셋,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P381,보스라,GOOGLE-FALLBACK-P381,https://www.google.com/maps/search/?api=1&query=%EB%B3%B4%EC%8A%A4%EB%9D%BC,Google Maps 검색: 보스라,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P383,믹돌,GOOGLE-FALLBACK-P383,https://www.google.com/maps/search/?api=1&query=%EB%AF%B9%EB%8F%8C,Google Maps 검색: 믹돌,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P384,디벨라다임,GOOGLE-FALLBACK-P384,https://www.google.com/maps/search/?api=1&query=%EB%94%94%EB%B2%A8%EB%9D%BC%EB%8B%A4%EC%9E%84,Google Maps 검색: 디벨라다임,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P385,아바림산,GOOGLE-FALLBACK-P385,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%B0%94%EB%A6%BC%EC%82%B0,Google Maps 검색: 아바림산,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P386,아로에르,GOOGLE-FALLBACK-P386,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A1%9C%EC%97%90%EB%A5%B4,Google Maps 검색: 아로에르,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P387,야하스,GOOGLE-FALLBACK-P387,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%ED%95%98%EC%8A%A4,Google Maps 검색: 야하스,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P388,야셀,GOOGLE-FALLBACK-P388,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%EC%85%80,Google Maps 검색: 야셀,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P389,살가,GOOGLE-FALLBACK-P389,https://www.google.com/maps/search/?api=1&query=%EC%82%B4%EA%B0%80,Google Maps 검색: 살가,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P391,마게다,GOOGLE-FALLBACK-P391,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EA%B2%8C%EB%8B%A4,Google Maps 검색: 마게다,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P392,디벳,GOOGLE-FALLBACK-P392,https://www.google.com/maps/search/?api=1&query=%EB%94%94%EB%B2%B3,Google Maps 검색: 디벳,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P393,소라,GOOGLE-FALLBACK-P393,https://www.google.com/maps/search/?api=1&query=%EC%86%8C%EB%9D%BC,Google Maps 검색: 소라,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P395,레히,GOOGLE-FALLBACK-P395,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%ED%9E%88,Google Maps 검색: 레히,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P396,엔학고레,GOOGLE-FALLBACK-P396,https://www.google.com/maps/search/?api=1&query=%EC%97%94%ED%95%99%EA%B3%A0%EB%A0%88,Google Maps 검색: 엔학고레,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P397,에담 바위,GOOGLE-FALLBACK-P397,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EB%8B%B4%20%EB%B0%94%EC%9C%84,Google Maps 검색: 에담 바위,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
